dataset,year,variable,label,name
PSID Individual Data by Years,1994,ER33119,CORE INDIVIDUAL LONGITUDINAL WEIGHT 94,weight
PSID Individual Data by Years,1995,ER33275,CORE INDIVIDUAL LONGITUDINAL WEIGHT 95,weight
PSID Individual Data by Years,1996,ER33318,CORE INDIVIDUAL LONGITUDINAL WEIGHT 96,weight
PSID Individual Data by Years,1997,ER33430,CORE/IMM INDIVIDUAL LONGITUDINAL WT 97,weight
PSID Individual Data by Years,1999,ER33546,CORE/IMM INDIVIDUAL LONGITUDINAL WT 99,weight
PSID Individual Data by Years,2001,ER33637,CORE/IMM INDIVIDUAL LONGITUDINAL WT 01,weight
PSID Individual Data by Years,2003,ER33740,CORE/IMM INDIVIDUAL LONGITUDINAL WT 03,weight
PSID Individual Data by Years,2005,ER33848,CORE/IMM INDIVIDUAL LONGITUDINAL WT 05,weight
PSID Individual Data by Years,2007,ER33950,CORE/IMM INDIVIDUAL LONGITUDINAL WT 07,weight
PSID Individual Data by Years,2009,ER34045,CORE/IMM INDIVIDUAL LONGITUDINAL WT 09,weight
PSID Individual Data by Years,2011,ER34154,CORE/IMM INDIVIDUAL LONGITUDINAL WT 11,weight
PSID Individual Data by Years,2013,ER34268,CORE/IMM INDIVIDUAL LONGITUDINAL WT 13,weight
PSID Individual Data by Years,2015,ER34413,CORE/IMM INDIVIDUAL LONGITUDINAL WT 15,weight
PSID Individual Data by Years,2017,ER34650,CORE/IMM INDIVIDUAL LONGITUDINAL WT 17,weight
PSID Individual Data by Years,2019,ER34863,CORE/IMM INDIVIDUAL LONGITUDINAL WT 19,weight
PSID Individual Data Index,1968,ER30010,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1970,ER30052,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1971,ER30076,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1972,ER30100,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1973,ER30126,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1974,ER30147,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1975,ER30169,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1976,ER30197,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1977,ER30226,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1978,ER30255,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1979,ER30296,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1980,ER30326,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1981,ER30356,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1982,ER30384,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1983,ER30413,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1984,ER30443,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1985,ER30478,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1986,ER30513,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1987,ER30549,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1988,ER30584,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1989,ER30620,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1990,ER30657,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1991,ER30703,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1992,ER30748,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1993,ER30820,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1994,ER33115,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1995,ER33215,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1996,ER33315,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1997,ER33415,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1999,ER33516,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2001,ER33616,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2003,ER33716,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2005,ER33817,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2007,ER33917,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2009,ER34020,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2011,ER34119,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2013,ER34230,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2015,ER34349,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2017,ER34548,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,2019,ER34752,HIGHEST GRADE FINISHED,educ
PSID Individual Data Index,1968,NA,EMP STATUS,empstat
PSID Individual Data Index,1969,NA,EMP STATUS,empstat
PSID Individual Data Index,1970,NA,EMP STATUS,empstat
PSID Individual Data Index,1971,NA,EMP STATUS,empstat
PSID Individual Data Index,1972,NA,EMP STATUS,empstat
PSID Individual Data Index,1973,NA,EMP STATUS,empstat
PSID Individual Data Index,1974,NA,EMP STATUS,empstat
PSID Individual Data Index,1975,NA,EMP STATUS,empstat
PSID Individual Data Index,1976,NA,EMP STATUS,empstat
PSID Individual Data Index,1977,NA,EMP STATUS,empstat
PSID Individual Data Index,1978,NA,EMP STATUS,empstat
PSID Individual Data Index,1979,ER30293,EMP STATUS,empstat
PSID Individual Data Index,1980,ER30323,EMP STATUS,empstat
PSID Individual Data Index,1981,ER30353,EMP STATUS,empstat
PSID Individual Data Index,1982,ER30382,EMP STATUS,empstat
PSID Individual Data Index,1983,ER30411,EMP STATUS,empstat
PSID Individual Data Index,1984,ER30441,EMP STATUS,empstat
PSID Individual Data Index,1985,ER30474,EMP STATUS,empstat
PSID Individual Data Index,1986,ER30509,EMP STATUS,empstat
PSID Individual Data Index,1987,ER30545,EMP STATUS,empstat
PSID Individual Data Index,1988,ER30580,EMP STATUS,empstat
PSID Individual Data Index,1989,ER30616,EMP STATUS,empstat
PSID Individual Data Index,1990,ER30653,EMP STATUS,empstat
PSID Individual Data Index,1991,ER30699,EMP STATUS,empstat
PSID Individual Data Index,1992,ER30744,EMP STATUS,empstat
PSID Individual Data Index,1993,ER30816,EMP STATUS,empstat
PSID Individual Data Index,1994,ER33111,EMP STATUS,empstat
PSID Individual Data Index,1995,ER33211,EMP STATUS,empstat
PSID Individual Data Index,1996,ER33311,EMP STATUS,empstat
PSID Individual Data Index,1997,ER33411,EMP STATUS,empstat
PSID Individual Data Index,1999,ER33512,EMP STATUS,empstat
PSID Individual Data Index,2001,ER33612,EMP STATUS,empstat
PSID Individual Data Index,2003,ER33712,EMP STATUS,empstat
PSID Individual Data Index,2005,ER33813,EMP STATUS,empstat
PSID Individual Data Index,2007,ER33913,EMP STATUS,empstat
PSID Individual Data Index,2009,ER34016,EMP STATUS,empstat
PSID Individual Data Index,2011,ER34116,EMP STATUS,empstat
PSID Individual Data Index,2013,ER34216,EMP STATUS,empstat
PSID Individual Data Index,2015,ER34317,EMP STATUS,empstat
PSID Individual Data Index,2017,ER34516,EMP STATUS,empstat
PSID Individual Data Index,2019,ER34716,EMP STATUS,empstat
