dataset,year,variable,label,name
PSID Family-level,1995,ER6993,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1996,ER9244,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1997,ER12079,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,1999,ER16462,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2001,ER20456,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2003,ER24099,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2005,ER28037,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2007,ER41027,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2009,ER46935,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2011,ER52343,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2013,ER58152,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2015,ER65349,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2017,ER71426,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-level,2019,ER77448,TOTAL FAMILY INCOME LAST YEAR,faminc
PSID Family-Level,1968,V119,HEAD SEX,sex
PSID Family-Level,1969,V1010,HEAD SEX,sex
PSID Family-Level,1970,V1240,HEAD SEX,sex
PSID Family-Level,1971,V1943,HEAD SEX,sex
PSID Family-Level,1972,V2543,HEAD SEX,sex
PSID Family-Level,1973,V3096,HEAD SEX,sex
PSID Family-Level,1974,V3509,HEAD SEX,sex
PSID Family-Level,1975,V3922,HEAD SEX,sex
PSID Family-Level,1976,V4437,HEAD SEX,sex
PSID Family-Level,1977,V5351,HEAD SEX,sex
PSID Family-Level,1978,V5851,HEAD SEX,sex
PSID Family-Level,1979,V6463,HEAD SEX,sex
PSID Family-Level,1980,V7068,HEAD SEX,sex
PSID Family-Level,1981,V7659,HEAD SEX,sex
PSID Family-Level,1982,V8353,HEAD SEX,sex
PSID Family-Level,1983,V8962,HEAD SEX,sex
PSID Family-Level,1984,V10420,HEAD SEX,sex
PSID Family-Level,1985,V11607,HEAD SEX,sex
PSID Family-Level,1986,V13012,HEAD SEX,sex
PSID Family-Level,1987,V14115,HEAD SEX,sex
PSID Family-Level,1988,V15131,HEAD SEX,sex
PSID Family-Level,1989,V16632,HEAD SEX,sex
PSID Family-Level,1990,V18050,HEAD SEX,sex
PSID Family-Level,1991,V19350,HEAD SEX,sex
PSID Family-Level,1992,V20652,HEAD SEX,sex
PSID Family-Level,1993,V22407,HEAD SEX,sex
PSID Family-Level,1994,ER2008,HEAD SEX,sex
PSID Family-Level,1995,ER5007,HEAD SEX,sex
PSID Family-Level,1996,ER7007,HEAD SEX,sex
PSID Family-Level,1997,ER10010,HEAD SEX,sex
PSID Family-Level,1999,ER13011,HEAD SEX,sex
PSID Family-Level,2001,ER17014,HEAD SEX,sex
PSID Family-Level,2003,ER21018,HEAD SEX,sex
PSID Family-Level,2005,ER25018,HEAD SEX,sex
PSID Family-Level,2007,ER36018,HEAD SEX,sex
PSID Family-Level,2009,ER42018,HEAD SEX,sex
PSID Family-Level,2011,ER47318,HEAD SEX,sex
PSID Family-Level,2013,ER53018,HEAD SEX,sex
PSID Family-Level,2015,ER60018,HEAD SEX,sex
PSID Family-Level,2017,ER66018,HEAD SEX,sex
PSID Family-Level,2019,ER72018,HEAD SEX,sex
PSID Family-Level,1968,V117,HEAD AGE,age
PSID Family-Level,1969,V1008,HEAD AGE,age
PSID Family-Level,1970,V1239,HEAD AGE,age
PSID Family-Level,1971,V1942,HEAD AGE,age
PSID Family-Level,1972,V2542,HEAD AGE,age
PSID Family-Level,1973,V3095,HEAD AGE,age
PSID Family-Level,1974,V3508,HEAD AGE,age
PSID Family-Level,1975,V3921,HEAD AGE,age
PSID Family-Level,1976,V4436,HEAD AGE,age
PSID Family-Level,1977,V5350,HEAD AGE,age
PSID Family-Level,1978,V5850,HEAD AGE,age
PSID Family-Level,1979,V6462,HEAD AGE,age
PSID Family-Level,1980,V7067,HEAD AGE,age
PSID Family-Level,1981,V7658,HEAD AGE,age
PSID Family-Level,1982,V8352,HEAD AGE,age
PSID Family-Level,1983,V8961,HEAD AGE,age
PSID Family-Level,1984,V10419,HEAD AGE,age
PSID Family-Level,1985,V11606,HEAD AGE,age
PSID Family-Level,1986,V13011,HEAD AGE,age
PSID Family-Level,1987,V14114,HEAD AGE,age
PSID Family-Level,1988,V15130,HEAD AGE,age
PSID Family-Level,1989,V16631,HEAD AGE,age
PSID Family-Level,1990,V18049,HEAD AGE,age
PSID Family-Level,1991,V19349,HEAD AGE,age
PSID Family-Level,1992,V20651,HEAD AGE,age
PSID Family-Level,1993,V22406,HEAD AGE,age
PSID Family-Level,1994,ER2007,HEAD AGE,age
PSID Family-Level,1995,ER5006,HEAD AGE,age
PSID Family-Level,1996,ER7006,HEAD AGE,age
PSID Family-Level,1997,ER10009,HEAD AGE,age
PSID Family-Level,1999,ER13010,HEAD AGE,age
PSID Family-Level,2001,ER17013,HEAD AGE,age
PSID Family-Level,2003,ER21017,HEAD AGE,age
PSID Family-Level,2005,ER25017,HEAD AGE,age
PSID Family-Level,2007,ER36017,HEAD AGE,age
PSID Family-Level,2009,ER42017,HEAD AGE,age
PSID Family-Level,2011,ER47317,HEAD AGE,age
PSID Family-Level,2013,ER53017,HEAD AGE,age
PSID Family-Level,2015,ER60017,HEAD AGE,age
PSID Family-Level,2017,ER66017,HEAD AGE,age
PSID Family-Level,2019,ER72017,HEAD AGE,age
PSID Family-Level,1968,NA,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1969,NA,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1970,V1297,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1971,V2003,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1972,V2601,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1973,V3134,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1974,V3549,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1975,V4003,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1976,V4513,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1977,V5424,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1978,V5911,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1979,V6522,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1980,V7125,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1981,V7718,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1982,V8386,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1983,V9017,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1984,V10466,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1985,V11657,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1986,V13060,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1987,V14160,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1988,V15168,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1989,V16669,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1990,V18107,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1991,V19407,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1992,V20707,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1993,V22470,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1994,ER2088,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1995,ER5087,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1996,ER7183,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1997,ER10098,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1999,ER13224,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2001,ER17235,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2003,ER21159,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2005,ER25148,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2007,ER36153,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2009,ER42188,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2011,ER47501,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2013,ER53201,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2015,ER60216,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2017,ER66217,HEAD HOURLY WAGE,avghourly
PSID Family-Level,2019,ER72217,HEAD HOURLY WAGE,avghourly
PSID Family-Level,1968,V74,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1969,V514,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1970,V1196,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1971,V1897,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1972,V2498,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1973,V3051,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1974,V3463,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1975,V3863,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1976,V5031,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1977,V5627,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1978,V6174,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1979,V6767,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1980,V7413,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1981,V8066,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1982,V8690,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1983,V9376,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1984,V11023,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1985,V12372,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1986,V13624,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1987,V14671,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1988,V16145,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1989,V17534,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1990,V18878,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1991,V20178,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1992,V21484,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1993,V23323,HEAD LABOR INCOME,hdslabinc_inc
PSID Family-Level,1994,ER4140,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,1995,ER6980,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,1996,ER9231,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,1997,ER12080,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,1999,ER16463,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2001,ER20443,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2003,ER24116,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2005,ER27931,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2007,ER40921,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2009,ER46829,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2011,ER52237,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2013,ER58038,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2015,ER65216,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2017,ER71293,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,2019,ER77315,HEAD LABOR INCOME,hdslabinc_exc
PSID Family-Level,1968,NA,COMPOSITION CHANGE,fchg
PSID Family-Level,1969,V542,COMPOSITION CHANGE,fchg
PSID Family-Level,1970,V1109,COMPOSITION CHANGE,fchg
PSID Family-Level,1971,V1809,COMPOSITION CHANGE,fchg
PSID Family-Level,1972,V2410,COMPOSITION CHANGE,fchg
PSID Family-Level,1973,V3010,COMPOSITION CHANGE,fchg
PSID Family-Level,1974,V3410,COMPOSITION CHANGE,fchg
PSID Family-Level,1975,V3810,COMPOSITION CHANGE,fchg
PSID Family-Level,1976,V4310,COMPOSITION CHANGE,fchg
PSID Family-Level,1977,V5210,COMPOSITION CHANGE,fchg
PSID Family-Level,1978,V5710,COMPOSITION CHANGE,fchg
PSID Family-Level,1979,V6310,COMPOSITION CHANGE,fchg
PSID Family-Level,1980,V6910,COMPOSITION CHANGE,fchg
PSID Family-Level,1981,V7510,COMPOSITION CHANGE,fchg
PSID Family-Level,1982,V8210,COMPOSITION CHANGE,fchg
PSID Family-Level,1983,V8810,COMPOSITION CHANGE,fchg
PSID Family-Level,1984,V10010,COMPOSITION CHANGE,fchg
PSID Family-Level,1985,V11112,COMPOSITION CHANGE,fchg
PSID Family-Level,1986,V12510,COMPOSITION CHANGE,fchg
PSID Family-Level,1987,V13710,COMPOSITION CHANGE,fchg
PSID Family-Level,1988,V14810,COMPOSITION CHANGE,fchg
PSID Family-Level,1989,V16310,COMPOSITION CHANGE,fchg
PSID Family-Level,1990,V17710,COMPOSITION CHANGE,fchg
PSID Family-Level,1991,V19010,COMPOSITION CHANGE,fchg
PSID Family-Level,1992,V20310,COMPOSITION CHANGE,fchg
PSID Family-Level,1993,V21608,COMPOSITION CHANGE,fchg
PSID Family-Level,1994,ER2005A,COMPOSITION CHANGE,fchg
PSID Family-Level,1995,ER5004A,COMPOSITION CHANGE,fchg
PSID Family-Level,1996,ER7004A,COMPOSITION CHANGE,fchg
PSID Family-Level,1997,ER10004A,COMPOSITION CHANGE,fchg
PSID Family-Level,1999,ER13008A,COMPOSITION CHANGE,fchg
PSID Family-Level,2001,ER17007,COMPOSITION CHANGE,fchg
PSID Family-Level,2003,ER21007,COMPOSITION CHANGE,fchg
PSID Family-Level,2005,ER25007,COMPOSITION CHANGE,fchg
PSID Family-Level,2007,ER36007,COMPOSITION CHANGE,fchg
PSID Family-Level,2009,ER42007,COMPOSITION CHANGE,fchg
PSID Family-Level,2011,ER47307,COMPOSITION CHANGE,fchg
PSID Family-Level,2013,ER53007,COMPOSITION CHANGE,fchg
PSID Family-Level,2015,ER60007,COMPOSITION CHANGE,fchg
PSID Family-Level,2017,ER66007,COMPOSITION CHANGE,fchg
PSID Family-Level,2019,ER72007,COMPOSITION CHANGE,fchg
PSID Family-Level,1968,V53,WIFE HOURS,hours_wife
PSID Family-Level,1969,V475,WIFE HOURS,hours_wife
PSID Family-Level,1970,V1148,WIFE HOURS,hours_wife
PSID Family-Level,1971,V1849,WIFE HOURS,hours_wife
PSID Family-Level,1972,V2449,WIFE HOURS,hours_wife
PSID Family-Level,1973,V3035,WIFE HOURS,hours_wife
PSID Family-Level,1974,V3431,WIFE HOURS,hours_wife
PSID Family-Level,1975,V3831,WIFE HOURS,hours_wife
PSID Family-Level,1976,V4344,WIFE HOURS,hours_wife
PSID Family-Level,1977,V5244,WIFE HOURS,hours_wife
PSID Family-Level,1978,V5743,WIFE HOURS,hours_wife
PSID Family-Level,1979,V6348,WIFE HOURS,hours_wife
PSID Family-Level,1980,V6946,WIFE HOURS,hours_wife
PSID Family-Level,1981,V7540,WIFE HOURS,hours_wife
PSID Family-Level,1982,V8238,WIFE HOURS,hours_wife
PSID Family-Level,1983,V8840,WIFE HOURS,hours_wife
PSID Family-Level,1984,V10131,WIFE HOURS,hours_wife
PSID Family-Level,1985,V11258,WIFE HOURS,hours_wife
PSID Family-Level,1986,V12657,WIFE HOURS,hours_wife
PSID Family-Level,1987,V13809,WIFE HOURS,hours_wife
PSID Family-Level,1988,V14865,WIFE HOURS,hours_wife
PSID Family-Level,1989,V16365,WIFE HOURS,hours_wife
PSID Family-Level,1990,V17774,WIFE HOURS,hours_wife
PSID Family-Level,1991,V19074,WIFE HOURS,hours_wife
PSID Family-Level,1992,V20374,WIFE HOURS,hours_wife
PSID Family-Level,1993,V21670,WIFE HOURS,hours_wife
PSID Family-Level,1994,ER4107,WIFE HOURS,hours_wife
PSID Family-Level,1995,ER6947,WIFE HOURS,hours_wife
PSID Family-Level,1996,ER9198,WIFE HOURS,hours_wife
PSID Family-Level,1997,ER12185,WIFE HOURS,hours_wife
PSID Family-Level,1999,ER16482,WIFE HOURS,hours_wife
PSID Family-Level,2001,ER20410,WIFE HOURS,hours_wife
PSID Family-Level,2003,ER24091,WIFE HOURS,hours_wife
PSID Family-Level,2005,ER27897,WIFE HOURS,hours_wife
PSID Family-Level,2007,ER40887,WIFE HOURS,hours_wife
PSID Family-Level,2009,ER46788,WIFE HOURS,hours_wife
PSID Family-Level,2011,ER52196,WIFE HOURS,hours_wife
PSID Family-Level,2013,ER57997,WIFE HOURS,hours_wife
PSID Family-Level,2015,ER65177,WIFE HOURS,hours_wife
PSID Family-Level,2017,ER71254,WIFE HOURS,hours_wife
PSID Family-Level,2019,ER77276,WIFE HOURS,hours_wife
PSID Family-Level,1968,V75,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1969,V516,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1970,V1198,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1971,V1899,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1972,V2500,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1973,V3053,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1974,V3465,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1975,V3865,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1976,V4379,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1977,V5289,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1978,V5788,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1979,V6398,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1980,V6988,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1981,V7580,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1982,V8273,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1983,V8881,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1984,V10263,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1985,V11404,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1986,V12803,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1987,V13905,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1988,V14920,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1989,V16420,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1990,V17836,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1991,V19136,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1992,V20436,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1993,V23324,WIFE LABOR INCOME INCLUSIVE,wife_labinc_inc
PSID Family-Level,1994,ER4144,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
PSID Family-Level,1995,ER6984,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
PSID Family-Level,1996,ER9235,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
PSID Family-Level,1997,ER12082,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
PSID Family-Level,1999,ER16465,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
PSID Family-Level,2001,ER20447,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
PSID Family-Level,2003,ER24135,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
PSID Family-Level,2005,ER27943,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
PSID Family-Level,2007,ER40933,WIFE LABOR INCOME EXCLUSIVE,wife_labinc_exc
